Device Name;Relative Performance
GeForce 210;100%
GeForce 9400 GT;128%
Radeon HD 4550;158%
Radeon HD 5450;202%
Radeon HD 6450;237%
GeForce GT 520;251%
GeForce GT 220;310%
GeForce GT 430;405%
Radeon HD 5570;410%
Radeon HD 4670;446%
GeForce GT 440;470%
GeForce GT 240;480%
GeForce 9600 GT;551%
Radeon HD 5670;586%
GeForce GT 640;628%
GeForce 9800 GT;649%
Radeon HD 6670;675%
Radeon HD 4830;697%
Radeon HD 4770;744%
Radeon HD 4850;784%
GeForce GTS 250;802%
GeForce GTS 450;826%
Radeon HD 5750;855%
Radeon HD 7750;976%
Radeon HD 5770;984%
GeForce GTX 260;1001%
Radeon HD 4870;1013%
Radeon Vega 8;1016%
GeForce GTX 550 Ti;1026%
GeForce GTX 650;1035%
Radeon HD 5830;1095%
Radeon HD 6790;1152%
Radeon HD 4890;1171%
GeForce GTX 460;1215%
Radeon RX Vega 11;1223%
GeForce GT 1030;1236%
GeForce GTX 275;1247%
Radeon HD 7770 GHz Edition;1251%
GeForce GTX 280;1253%
GeForce GTX 465;1278%
Radeon HD 6850;1339%
GeForce GTX 285;1365%
Radeon HD 5850;1464%
GeForce GTX 650 Ti;1491%
Radeon HD 7790;1491%
Radeon RX 550;1555%
GeForce GTX 470;1558%
Radeon HD 6870;1615%
Radeon HD 5870;1722%
GeForce GTX 560 Ti;1777%
Radeon HD 4870 X2;1786%
GeForce GTX 750 Ti;1818%
Radeon HD 6950;1827%
GeForce GTX 295;1891%
GeForce GTX 650 Ti Boost;1914%
Radeon HD 7850;1928%
GeForce GTX 480;1962%
Radeon HD 6970;2053%
Radeon R7 265;2093%
Radeon RX 460;2126%
Radeon R7 370;2126%
GeForce GTX 660;2134%
GeForce GTX 570;2140%
Radeon RX 560;2176%
GeForce GTX 950;2310%
Radeon HD 7870 GHz Edition;2331%
Radeon R9 270X;2387%
GeForce GTX 660 Ti;2417%
GeForce GTX 580;2428%
GeForce GTX 1050;2447%
Radeon HD 7950;2453%
GeForce GTX 1630;2499%
Radeon HD 5970;2501%
GeForce GTX 760;2571%
GeForce GTX 670;2767%
GeForce GTX 960;2840%
Radeon R9 380;2912%
Radeon R9 285;2929%
Radeon HD 7970;2959%
GeForce GTX 680;2990%
GeForce GTX 1050 Ti;3059%
GeForce GTX 770;3139%
Radeon HD 6990;3212%
Radeon R9 280X;3288%
GeForce GTX 590;3335%
Radeon HD 7970 GHz Edition;3338%
GeForce GTX 780;3697%
Arc A380;3703%
Radeon RX 6400;3752%
GeForce GTX 1650;3829%
Radeon RX 470;4068%
Radeon R9 290;4125%
Radeon RX 570;4347%
Radeon R9 390;4400%
Radeon R9 290X;4424%
GeForce GTX 970;4483%
GeForce GTX TITAN;4543%
GeForce GTX 780 Ti;4604%
Radeon R9 390X;4669%
Radeon HD 7990;4689%
Radeon RX 480;4712%
GeForce GTX 690;4752%
GeForce GTX 1060 6 GB;4880%
Radeon RX 5500 OEM;4947%
Radeon RX 580;5007%
Radeon RX 5500 XT;5046%
Radeon RX 6500 XT;5089%
GeForce GTX 980;5111%
GeForce GTX 1650 SUPER;5155%
Radeon R9 FURY;5177%
Radeon RX 590;5408%
Radeon R9 295X2;5695%
GeForce GTX 1660;5726%
Radeon R9 FURY X;5793%
GeForce GTX 980 Ti;5891%
GeForce GTX TITAN X;6044%
GeForce GTX 1660 SUPER;6226%
GeForce GTX 1070;6573%
GeForce GTX 1660 Ti;6573%
GeForce RTX 3050 8 GB;6680%
Radeon RX Vega 56;6998%
GeForce GTX 1070 Ti;7422%
Radeon RX 5600 XT;7533%
Radeon RX Vega 64;7634%
GeForce GTX 1080;7740%
GeForce RTX 2060;7740%
Radeon RX 5700;8058%
Arc A580;8076%
Radeon RX 6600;8412%
GeForce RTX 2060 SUPER;8695%
GeForce RTX 2070;8808%
Radeon RX 5700 XT;8815%
GeForce RTX 3060 12 GB;8988%
Arc A750;9281%
Radeon VII;9330%
TITAN X Pascal;9572%
Radeon RX 6600 XT;9670%
GeForce GTX 1080 Ti;9861%
Arc A770;9959%
GeForce RTX 2070 SUPER;9967%
Radeon RX 6650 XT;10484%
Radeon RX 7600;10600%
GeForce RTX 4060;10650%
GeForce RTX 2080;10721%
Radeon RX 7600 XT;10938%
GeForce RTX 2080 SUPER;11240%
GeForce RTX 3060 Ti;11514%
Radeon RX 6700 XT;11919%
Radeon RX 6750 XT;12651%
GeForce RTX 4060 Ti 8 GB;12789%
GeForce RTX 2080 Ti;12884%
GeForce RTX 3070;13484%
GeForce RTX 3070 Ti;14428%
Radeon RX 7700 XT;14580%
Radeon RX 6800;14863%
GeForce RTX 4070;16469%
Radeon RX 6800 XT;16882%
GeForce RTX 3080;17524%
Radeon RX 7800 XT;17699%
Radeon RX 6900 XT;18191%
GeForce RTX 4070 SUPER;19104%
Radeon RX 7900 GRE;19469%
GeForce RTX 3080 Ti;19630%
Radeon RX 6950 XT;19654%
GeForce RTX 3090;19999%
GeForce RTX 4070 Ti;20503%
GeForce RTX 4070 Ti SUPER;22399%
Radeon RX 7900 XT;23003%
GeForce RTX 3090 Ti;23201%
GeForce RTX 4080;26045%
GeForce RTX 4080 SUPER;26436%
Radeon RX 7900 XTX;26687%
GeForce RTX 4090;32721%